sample,timestamp,temperature_C,humidity_RH,condition,R0,C0,R1,L1,C1,f_res_khz,Q_factor,r2_magnitude,r2_real,r2_imag
sample_5,2026-03-13 14:46:45,23.3,36.0,"23.3°C, 36.0%RH",102.58636665044499,2.041608814340252e-09,977.4927192548023,0.019999988239344815,3.4460280050815214e-11,191.7104825000381,24.64574425635669,-15.064063784542906,0.8100032649705344,-163.91391034580892
sample_10,2026-03-13 14:46:45,23.3,36.0,"23.3°C, 36.0%RH",200.20444126833885,9.368324573082802e-10,1783.6985446166636,0.019999979194771988,2.57324248645214e-11,221.85284531532815,15.629783319425332,-20.019944354465245,0.9178916234509312,-143.31662108705248
sample_0,2026-03-17 16:28:01,26.1,35.0,"26.1°C, 35.0%RH",201.0608022803073,1.8781443622354716e-09,667.7805447195424,0.019999980146826954,3.4141225871260163e-11,192.60421804389327,36.244445909658126,-4.502424677699517,0.973504185049203,-42.05103694377917
sample_5,2026-03-17 16:28:01,26.1,35.0,"26.1°C, 35.0%RH",92.32854795175504,1.9348208739058725e-09,879.7443647515328,0.019999986928696218,3.4348143688831705e-11,192.02317233813648,27.428794883525622,-16.01254759889853,0.9380214305929062,-174.7866433410811
sample_10,2026-03-17 16:28:01,26.1,35.0,"26.1°C, 35.0%RH",200.50681551062542,8.877863110065765e-10,1962.0170354475256,0.01999997619046286,2.7378895540333936e-11,215.07871342889598,13.775393168381648,-19.775322762756108,0.9302981437045194,-192.21377129345393
sample_0,2026-03-18 15:39:05,27.1,35.0,"27.1°C, 35.0%RH",180.95610576757943,1.6903373197259832e-09,601.0065481981617,0.0199999786972332,3.360498807642772e-11,194.13484453884067,40.591368171777994,-3.0726231292229222,0.8991415582102348,-26.653542651323296
sample_5,2026-03-18 15:39:05,27.1,35.0,"27.1°C, 35.0%RH",84.44691213803347,1.9616701086145248e-09,791.7731934748166,0.019999986884276493,3.435047202020467e-11,192.0166646181939,30.475280158889866,-15.952052741082898,0.9488941632410942,-178.93241181229104
sample_10,2026-03-18 15:39:05,27.1,35.0,"27.1°C, 35.0%RH",189.06398505495295,8.24560007649918e-10,2158.1250173390977,0.019999975604339932,2.7025307909729455e-11,216.4811435085755,12.605289036624535,-22.673969588179077,0.9474011161291758,-176.50433303583796
sample_0,2026-03-24 16:15:43,25.8,31.0,"25.8°C, 31.0%RH",162.86065594279614,1.7268328006695043e-09,540.9140239407626,0.01999997860965195,3.3891532833705314e-11,193.31242121835038,44.90977907323145,-3.348826606452964,0.8944810095595425,-26.689034663348615
sample_5,2026-03-24 16:15:43,25.8,31.0,"25.8°C, 31.0%RH",81.50749580228319,1.9156338456093624e-09,805.9907166102854,0.019999986600726403,3.448459600859119e-11,191.6428884852489,29.879425398303066,-16.542117414496715,0.9775640855874912,-184.4887718750476
sample_10,2026-03-24 16:15:43,25.8,31.0,"25.8°C, 31.0%RH",183.90801253180925,8.077991622062307e-10,2272.5478354176635,0.01999997541684374,2.720546722030358e-11,215.76316610908322,11.930910915530859,-24.542669479692922,0.9661147971593345,-184.07029134352777
sample_0,2026-03-25 14:20:59,22.9,33.0,"22.9°C, 33.0%RH",146.5749128283746,1.7258268295863638e-09,486.82469720929134,0.019999977815939315,3.346826648500329e-11,194.5309758985894,50.214084076413926,-3.271977468124203,0.9297871148121385,-27.253137812792744
sample_5,2026-03-25 14:20:59,22.9,33.0,"22.9°C, 33.0%RH",82.60305149610106,1.9469761353502184e-09,756.6514229365649,0.01999998501013625,3.4367010802797906e-11,191.9704649963547,31.882186816437343,-15.065115013171845,0.9800235879111152,-169.2990155287454
sample_10,2026-03-25 14:20:59,22.9,33.0,"22.9°C, 33.0%RH",196.53256652856894,8.356877395593042e-10,2204.6341407041455,0.019999973851746088,2.731551951977822e-11,215.328088578471,12.273642039200627,-23.10614724170628,0.9530522341502325,-181.08613350956048
sample_0,2026-03-26 17:13:09,24.8,30.0,"24.8°C, 30.0%RH",131.91881907909493,1.7554732246543549e-09,438.1456941014698,0.019999977617461497,3.3464474782302824e-11,194.54199724803627,55.79614576779203,-3.4532816058196536,0.9787124233570539,-30.061541835892992
sample_5,2026-03-26 17:13:09,24.8,30.0,"24.8°C, 30.0%RH",84.81451183099773,1.988610740368629e-09,748.1185068460466,0.019999984527126514,3.4513033426220655e-11,191.56392894570706,32.177541968038234,-15.311898489034881,0.986499888178195,-172.50763747493843
sample_10,2026-03-26 17:13:09,24.8,30.0,"24.8°C, 30.0%RH",194.3678616688129,8.303869008745492e-10,2308.541204051066,0.019999973195251305,2.727424965119697e-11,215.4909417427709,11.73007180440939,-25.474455970358573,0.9668306469993991,-192.93117920327037
sample_0,2026-03-27 15:46:20,25.8,26.0,"25.8°C, 26.0%RH",123.04121265363234,1.7535023172781897e-09,403.3435471237013,0.019999976879980143,3.347461036115744e-11,194.51254649541826,60.60128989796291,-3.34792831525807,0.978825390384357,-29.451209162908118
sample_5,2026-03-27 15:46:20,25.8,26.0,"25.8°C, 26.0%RH",86.84694866399772,2.064181846397145e-09,699.6113010811009,0.019999984523943044,3.459291345906021e-11,191.3426267442868,34.368805902403054,-14.32708604440496,0.9827286217423706,-163.8400660948993
sample_10,2026-03-27 15:46:20,25.8,26.0,"25.8°C, 26.0%RH",202.00112550682334,8.601685603713592e-10,2261.4706976419493,0.01999997129052641,2.714714425161902e-11,215.99483700666758,12.002221736409162,-25.664024084090524,0.9727131500652794,-187.25523508778642
